"","2019-12-29","2019-12-31","2020-01-01","2020-01-03","2020-01-05","2020-01-07","2020-01-09","2020-01-12","2020-01-15","2020-01-19","2020-01-21","2020-01-24","2020-01-26","2020-01-28"
"B-1-73",5034.03918181818,0,5034.03918181818,0,5034.03918181818,0,415.556,1154.26,1064.665,3078.22,4184.86,9258.92,13831.3,22386.65
"B-1-74",8309.71786363636,0,8309.71786363636,0,8309.71786363636,285.1515,1444.51,3653.34,3915.73,7304.97,11553.295,16181.9,20453.1,26614.9
"B-1-75",12628.5565,0,12628.5565,0,12628.5565,754.1965,2891.68,7188.7,7613.015,12276.6,12610.43,27182.6,31487.6,36909.3
"B-1-76",9698.28645454545,0,9698.28645454545,0,9698.28645454545,305.061,1518.64,3459.445,2311.235,6668.635,9623.785,20299.3,26103.7,36391.35
"B-1-77",10967.6004545455,0,10967.6004545455,0,10967.6004545455,1633.24,3193.96,7207.935,7334.435,11110.9,9498.285,24015,25690.1,30959.75
"B-1-78",4050.01190909091,0,4050.01190909091,0,4050.01190909091,0,106.406,873.687,1000.298,2658.53,3407.57,6701.19,11278,18524.45
"B-1-79",3297.77659090909,0,3297.77659090909,0,3297.77659090909,176.6075,1031.98,1758.595,1296.865,2835.87,4172.385,6203.36,8623.31,10176.57
"B-1-81",6824.50463636364,0,6824.50463636364,0,6824.50463636364,234.586,1098.98,3131.96,2496.145,6207.715,8322.715,11738.5,19699.3,22139.65
"B-1-94",8649.60622727273,0,8649.60622727273,0,8649.60622727273,31.1305,392.878,1242.86,1742.29,5421.15,8983.86,18851.7,24745.4,33734.4
"B-1-95",2497.01795454545,0,2497.01795454545,0,2497.01795454545,0,0,188.525,408.6675,1716.12,2858.47,5245.655,6975.41,10074.35
"B-1-96",10471.6318181818,0,10471.6318181818,0,10471.6318181818,48.338,385.067,1513.515,2198.255,5692.33,8795.945,15694.75,31398.9,49460.85
"B-1-85",13819.0618181818,0,13819.0618181818,0,13819.0618181818,1490.78,3866.3,6419.01,6775.74,15305.4,14435.1,28727.25,33403.2,41586.9
"B-1-86",10438.9766818182,0,10438.9766818182,0,10438.9766818182,576.8435,2023.06,4075.93,4165.625,7133.16,9690.125,18414.7,30490,38259.3
"B-1-87",4828.14763636364,0,4828.14763636364,0,4828.14763636364,320.404,1334.81,1961.785,1898.61,2377.52,12975.915,7228.68,10519.5,14492.4
"B-1-88",14012.4789090909,0,14012.4789090909,0,14012.4789090909,875.4165,3689.43,8282.045,8719.635,16904.6,11806.5915,26018.5,35912.4,41928.65
"B-1-89",2951.00259090909,0,2951.00259090909,0,2951.00259090909,0,0,209.7315,0,834.222,2361.075,4504.99,9974.01,14577
"B-1-90",3023.04531818182,0,3023.04531818182,0,3023.04531818182,0,0,0,204.4985,1158.23,4999.59,5028.81,8614.32,13248.05
"B-1-92",5490.03686363636,0,5490.03686363636,0,5490.03686363636,158.2975,603.818,1109.01,1846.56,3268,5735.39,10462.93,15508.2,21698.2
"B-1-93",2004.87040909091,0,2004.87040909091,0,2004.87040909091,0,0,0,54.9615,591.893,2303.535,4434.76,5453.4,9215.025
"B-1-106",14714.5455454545,0,14714.5455454545,0,14714.5455454545,114.801,2219.67,5616.31,9561.12,13573.3,17869.4,29746.7,37649.15,45509.55
"B-1-107",10068.7219545455,0,10068.7219545455,0,10068.7219545455,507.0065,1176.53,3314.46,5489.795,10201,13344,20784.1,24354.1,31584.95
"B-1-97",5341.864,0,5341.864,0,5341.864,115.4705,672.6985,1453.19,1878.54,4369.5,6130.125,9891.73,15622.75,18626.5
"B-1-99",10561.4119090909,0,10561.4119090909,0,10561.4119090909,181.989,994.282,3088.6,5006.51,10142.7,13230.85,21065.9,27505.9,34958.8
"B-1-100",4147.69904545455,0,4147.69904545455,0,4147.69904545455,0,0,492.638,887.2765,2985.06,4224.995,7786.37,12194,17054.35
"B-1-102",7215.58304545455,0,7215.58304545455,0,7215.58304545455,284.9485,790.635,3099.77,4699.69,9996.37,10143.6,15183.7,15379.15,19793.55
"B-1-103",17681.8868181818,0,17681.8868181818,953,17681.8868181818,2679.915,5316.045,8147.27,10822.725,19795.3,23741.55,34317.4,39942.2,48785.35
"B-1-104",8426.36431818182,1704.135,8426.36431818182,785.695,8426.36431818182,537.6075,1262.315,2172.69,4108.845,7454.72,10194.35,17730.7,20385.55,26353.4
"B-1-105",7978.14786363636,0,7978.14786363636,0,7978.14786363636,226.252,865.2445,3026.07,3229.505,7572.3,9246.105,15030.9,21010.2,27553.05
